Zone,Site,Lab Number,Phase,Context,Material,Age BP,Error,Source,Calib_1sigma_from,Calib_1sigma_to,Calib_2sigma_from,Calib_2sigma_to,Calib_mean,Calib_sd,Modeled_1sigma_from,Modeled_1sigma_to,Modeled_2sigma_from,Modeled_2sigma_to,Modeled_mean,Modeled_sd,Acomb,A,L,P,C,Region,Comments
Atlantic CR,Fabrica de Licores,UCLA-2167F,?,?,?,2910,100,Lange and Stone 1984,-1258,-936,-1392,-841,-1116,134,-861,-801,-951,-569,-824,66,,19.9,,,99.4,Lower Central America,""
Atlantic CR,Jabillo,B-325234,La Montaña,ET2M03ESC8N6,?,2930,30,Chavez Montoya 2016,-1201,-1056,-1222,-1016,-1131,56,-1201,-1057,-1221,-1017,-1131,55,,99.9,,,99.9,Lower Central America,""
Atlantic CR,Jabillo,B-325232,La Montaña,ET2M1ESC8T1N5,?,2510,30,Chavez Montoya 2016,-772,-566,-786,-541,-650,74,-687,-548,-780,-520,-633,72,,98.5,,,99.7,Lower Central America,""
Atlantic CR,Jabillo,B-325235,La Montaña,ET2M05ESC3N3,?,2380,30,Chavez Montoya 2016,-510,-398,-717,-393,-468,68,-516,-399,-722,-393,-483,77,,90.3,,,99.9,Lower Central America,""
Atlantic CR,Kualklo,B-319139,?,?,Hollin tiestos,2500,30,Hurtado de Mendoza 2016,-766,-551,-778,-520,-644,75,-688,-517,-769,-464,-596,76,,87.2,,,99.8,Lower Central America,""
Atlantic CR,Kualklo,B-319138,?,?,Hollin tiestos,2440,30,Hurtado de Mendoza 2016,-735,-419,-751,-408,-566,105,-717,-426,-746,-411,-546,89,,103.9,,,99.8,Lower Central America,""
Atlantic CR,Kualklo,B-319140,?,?,Hollin tiestos,2410,30,Hurtado de Mendoza 2016,-517,-409,-743,-399,-509,92,-543,-438,-738,-402,-518,84,,97.5,,,99.8,Lower Central America,""
Atlantic CR,Kualklo,B-319141,?,?,Hollin tiestos,2400,30,Hurtado de Mendoza 2016,-515,-405,-733,-397,-494,84,-541,-437,-732,-401,-510,81,,93.1,,,99.8,Lower Central America,""
Atlantic CR,La Cascada,B-361129,La Montaña,Cuadro 14K9 Pozo 14,Hollin tiestos,2478,29,"Salazar Jimenez 2016, But conflicts with Salazar Jimenez 2020. Fixed if we assume she rounded to the nearest decade and originally reported in 5730 half life",-754,-543,-771,-426,-629,85,-695,-416,-754,-413,-577,93,,85.1,,,99.8,Lower Central America,""
Atlantic CR,La Cascada,B-361128,Chaparron,Cuadro 14H11 Nivel 4,Hollin tiestos,2303,29,"Salazar Jimenez 2016, But conflicts with Salazar Jimenez 2020. Fixed if we assume she rounded to the nearest decade and originally reported in 5730 half life",-403,-363,-409,-230,-354,57,-401,-385,-411,-368,-392,13,,134.6,,,99.9,Lower Central America,""
Atlantic CR,La Cascada,B-361127,La Montaña,Cuadro 10C2 Pozo 10 Nivel 2,Hollin tiestos,2293,29,"Salazar Jimenez 2016, But conflicts with Salazar Jimenez 2020. Fixed if we assume she rounded to the nearest decade and originally reported in 5730 half life",-400,-236,-406,-210,-339,62,-393,-369,-402,-266,-373,27,,126.8,,,100,Lower Central America,""
Atlantic CR,La Montaña,UCLA-2113A,La Montaña,"Units 2, 3, 3N and 4, Layer D",Dispersed charcoal fragments,3465,160,Snarskis 1978,-2011,-1545,-2273,-1421,-1805,206,-1802,-1431,-2036,-1128,-1616,202,,84.7,,,99.8,Lower Central America,""
Atlantic CR,La Montaña,UCLA-2113N,La Montaña,Unit 5 Layer D,Single large piece of charcoal,2500,60,Snarskis 1978,-801,-551,-815,-426,-663,97,-796,-551,-811,-476,-654,95,,99.2,,,99.5,Lower Central America,""
Atlantic CR,La Montaña,UCLA-2113D,La Montaña,Sector 2 Top of Layer D,Concentrted charcoal fragments,2500,60,Snarskis 1978,-773,-544,-791,-418,-624,100,-771,-541,-788,-420,-618,98,,100.1,,,99.7,Lower Central America,""
Atlantic CR,La Montaña,UCLA-2113B,La Montaña,"Units 2, 3, 3N",Dispersed charcoal fragments,2275,160,Snarskis 1978,-718,-104,-787,24,-357,219,-736,-354,-783,-310,-528,135,,93.3,,,99.8,Lower Central America,""
Atlantic CR,La Montaña,UCLA-2113M,La Montaña,Unit 11,Single large piece of charcoal,2230,60,Snarskis 1978,-381,-204,-401,-116,-275,75,-400,-342,-471,-232,-364,50,,93.1,,,99.8,Lower Central America,""
Atlantic CR,La Quebrada,B-361133,La Montaña/Chaparron,Pozo 113 Cuadro 112O1 Nivel 5,Carbon Vegetal,2614,29,Salazar Jimenez 2016,-808,-787,-821,-772,-795,19,-807,-785,-827,-591,-783,48,,92.8,,,99.6,Lower Central America,""
Atlantic CR,La Quebrada,B-361136,La Montaña/Chaparron,Pozo 149 Cuadro 135A20 Nivel 5,Hollin tiestos,2478,29,Salazar Jimenez 2016,-754,-543,-771,-426,-629,85,-751,-543,-769,-490,-632,77,,102.7,,,99.6,Lower Central America,""
Atlantic CR,La Quebrada,B-361135,La Montaña/Chaparron,Pozo 149 Cuadro 135A20 Nivel 5,Hollin tiestos,2400,29,Salazar Jimenez 2016,-515,-405,-729,-398,-492,82,-719,-455,-746,-411,-548,94,,77.8,,,99.8,Lower Central America,""
Atlantic CR,La Quebrada,B-361134,La Montaña/Chaparron,Pozo 113 Cuadro 112R4 Nivel 4,Hollin tiestos,2390,29,Salazar Jimenez 2016,-513,-401,-721,-395,-478,73,-479,-402,-540,-396,-461,54,,107.8,,,99.9,Lower Central America,""
Atlantic CR,Los Higuerones,B-196735,?,?,?,2610,60,Hurtado de Mendoza 2016,-893,-593,-907,-544,-752,97,-825,-590,-848,-543,-722,94,,99.2,,,99.4,Lower Central America,""
Atlantic CR,Los Higuerones,A-13648,?,?,?,2525,50,Hurtado de Mendoza 2016,-786,-550,-802,-481,-649,90,-791,-564,-804,-517,-663,86,,102.8,,,99.4,Lower Central America,""
Atlantic CR,Pascua,B-431568,La Montaña,Op 2.2 Cuadrante 30 Cuadro 18S18 Nivel 9,Carbon,2480,30,Hernandez Ruiz et al. 2018,-756,-543,-772,-476,-630,84,-754,-543,-771,-479,-629,83,,100.1,,,99.7,Lower Central America,""
Atlantic CR,Sibon,B-325229,La Montaña,ET1M7ESC2(V)N3,?,2510,30,Naranjo Masis 2014,-772,-566,-786,-541,-650,74,-685,-544,-780,-516,-625,71,,97.2,,,99.8,Lower Central America,""
Atlantic CR,Sibon,B-325230,La Montaña,ET1M8ESC2(V)N3,?,2420,30,Naranjo Masis 2014,-541,-411,-748,-402,-527,99,-542,-445,-724,-402,-500,65,,107.6,,,99.9,Lower Central America,""
Atlantic CR,Sibon,B-325228,La Montaña,ET1M6ESC2(V)N4.2,Hollin tiestos,2380,30,Castillo Vazquez 2016,-510,-398,-717,-393,-468,68,-537,-401,-720,-393,-482,69,,89.3,,,99.9,Lower Central America,""
Atlantic CR,Vista Lagunas,B-431570,La Montaña,Op 3 Ampliacion 10 Cuadrante 9 Cuadro 5D18 Nivel 5,Carbon,2460,30,Hernandez Ruiz et al. 2018,-750,-485,-758,-416,-604,98,-750,-486,-757,-419,-605,96,,99.9,,,99.8,Lower Central America,""
Gran Chiriquí,Black Creek,B-143065,Black Creek,Rasgo 1 Estrato II (Nivel 10) Muestra 41,Raphia taedigera,3440,40,Baldi Salas 2001,-1873,-1687,-1880,-1627,-1754,71,-1772,-1631,-1876,-1620,-1726,68,,97.1,,,99.9,Lower Central America,""
Gran Chiriquí,Black Creek,B-144240,Black Creek,Rasgo 1 Estrato II (Nivel 9) Muestra 37,Raphia taedigera,2820,60,Baldi Salas 2001,-1102,-899,-1191,-827,-987,84,-1201,-997,-1253,-934,-1091,79,,65,,,99.9,Lower Central America,""
Gran Chiriquí,Black Creek,B-144239,Black Creek,Rasgo 2 Estrato III (Nivel 6) Muestra 4,Raphia taedigera,2930,80,Baldi Salas 2001,-1258,-1012,-1386,-921,-1137,115,-1050,-848,-1111,-826,-969,75,,59.9,,,99.9,Lower Central America,""
Gran Chiriquí,Black Creek,B-143063,Black Creek,Rasgo 1 Estrato II (Nivel 12) Muestra 45,Raphia taedigera,2580,40,Baldi Salas 2001,-808,-597,-816,-549,-732,80,-809,-672,-818,-555,-741,75,,,,,99.8,Lower Central America,""
Gran Chiriquí,Black Creek,B-143064,Black Creek,Entre Rasgo 1 Estrato II y Rasgo 2 Estrato III (Nivel 7) Muestra 30,Elaeis olifera,2460,40,Baldi Salas 2001,-751,-481,-758,-416,-598,101,-769,-613,-775,-461,-650,91,,103.6,,,99.9,Lower Central America,""
Gran Chiriquí,Casita de Piedra,I-6278,Talamanca,Level F3,Charcoal,6560,120,Ranere 1980,-5622,-5384,-5717,-5308,-5501,106,-5616,-5371,-5703,-5220,-5474,109,,96.8,,,99.9,Lower Central America,""
Gran Chiriquí,Casita de Piedra,I-5765,Talamanca,Level E4,Charcoal,5795,105,Ranere 1980,-4785,-4537,-4904,-4370,-4651,123,-4781,-4508,-4901,-4370,-4646,122,,100.3,,,99.9,Lower Central America,""
Gran Chiriquí,Casita de Piedra,I-5764,Talamanca,Pit dug into layer G presumably from layer E,Charcoal,5680,105,Ranere 1980,-4671,-4370,-4780,-4340,-4536,114,-4654,-4370,-4778,-4339,-4532,113,,100.3,,,99.8,Lower Central America,""
Gran Chiriquí,Casita de Piedra,SI-1845,Boquete,Level D3,Charcoal,4085,75,Ranere 1980,-2857,-2496,-2875,-2471,-2666,120,-2861,-2575,-2877,-2499,-2695,108,,101.9,,,99.9,Lower Central America,""
Gran Chiriquí,Casita de Piedra,I-5614,Boquete,Level D3,Charcoal,4075,105,Ranere 1980,-2858,-2476,-2897,-2344,-2642,150,-2682,-2456,-2821,-2291,-2541,123,,95,,,99.9,Lower Central America,""
Gran Chiriquí,Casita de Piedra,SI-1844,Boquete,Level B,Charcoal,2890,70,Ranere 1980,-1200,-984,-1286,-859,-1083,102,-1212,-1007,-1370,-905,-1101,103,,98.8,,,99.9,Lower Central America,""
Gran Chiriquí,Hornito,I-12018,Talamanca,?,Charcoal,6270,270,Ranere and Cooke 1996,-5479,-4905,-5720,-4604,-5177,283,-5308,-4849,-5561,-4619,-5091,229,,105.2,,,99.5,Lower Central America,""
Gran Chiriquí,Hornito,I-12017,Talamanca,?,Charcoal,6180,180,Ranere and Cooke 1996,-5316,-4856,-5481,-4704,-5103,203,-5289,-4851,-5466,-4719,-5069,182,,104.1,,,99.6,Lower Central America,""
Gran Chiriquí,Hornito,I-12019,Talamanca,?,Charcoal,5880,260,Ranere and Cooke 1996,-5197,-4454,-5463,-4247,-4789,293,-5211,-4707,-5361,-4371,-4906,252,,99.6,,,99.4,Lower Central America,""
Gran Chiriquí,Pitti-Gonzalez,I-5871,Bugaba,?,?,2685,110,Linares et al. 1975 in Hoopes 1996,-1011,-766,-1191,-517,-851,149,-998,-773,-1126,-543,-861,138,,103.4,,,99.8,Lower Central America,""
Gran Chiriquí,Trapiche,I-5613,Talamanca,Level E3,Charcoal,5850,110,Ranere 1980,-4837,-4552,-4988,-4456,-4716,136,-4831,-4549,-4986,-4451,-4703,134,,100.1,,,99.9,Lower Central America,""
Gran Chiriquí,Trapiche,SI-1848,Talamanca,Level E2,Charcoal,4685,85,Ranere 1980,-3617,-3369,-3645,-3111,-3461,113,-3623,-3379,-3650,-3190,-3483,102,,101.4,,,99.9,Lower Central America,""
Gran Chiriquí,Trapiche,SI-1847,Talamanca,Level C1,Charcoal,3870,75,Ranere 1980,-2462,-2210,-2569,-2069,-2335,110,-2469,-2236,-2572,-2142,-2361,109,,,,0.1,99.8,Lower Central America,""
Gran Chiriquí,Trapiche,SI-1846,Boquete,Level B1,Charcoal,2890,70,Ranere 1980,-1200,-984,-1286,-859,-1083,102,-1208,-1001,-1367,-903,-1094,102,,99.6,,,99.9,Lower Central America,""
Gran Cocle,AG-123,SI-6223,Preceramic,?,Shell,8795,135,Cooke and Ranere 1992,-7645,-7286,-7858,-7082,-7475,188,-7616,-7272,-7801,-7076,-7451,178,,102,,,99.8,Lower Central America,""
Gran Cocle,AG-66,SI-6238,Monagrillo,?,Charcoal,3945,115,Ranere and Cooke 1996,-2617,-2209,-2868,-2137,-2448,180,-2575,-2209,-2859,-2050,-2425,176,,100.6,,,99.8,Lower Central America,""
Gran Cocle,AG-88,SI-6237,Monagrillo,?,Charcoal,2685,105,Ranere and Cooke 1996,-997,-774,-1126,-539,-853,141,-994,-774,-1125,-541,-855,138,,100.7,,,99.8,Lower Central America,""
Gran Cocle,Aguadulce Shelter,NZA-9625,Preceramic,Zone D,Sediment Phytoliths,8423,79,Piperno et al. 2000,-7581,-7374,-7595,-7196,-7463,91,-7578,-7363,-7592,-7192,-7445,98,,94.4,,,99.9,Lower Central America,""
Gran Cocle,Aguadulce Shelter,NZA-9624,Preceramic,Zone D,Sediment Phytoliths,7061,81,Piperno et al. 2000,-6017,-5845,-6067,-5759,-5927,81,-6015,-5844,-6065,-5755,-5922,81,,99.4,,,99.9,Lower Central America,""
Gran Cocle,Aguadulce Shelter,UCR-3417,Preceramic,Zone C,Sediment phytoliths,6910,60,Piperno et al. 2000,-5876,-5728,-5973,-5669,-5801,66,-5842,-5726,-5971,-5668,-5798,65,,100.5,,,99.9,Lower Central America,""
Gran Cocle,Aguadulce Shelter,NZA-10929,Preceramic,Zone C,Sediment phytoliths,6207,60,Piperno et al. 2000,-5290,-5056,-5306,-5004,-5151,84,-5288,-5053,-5306,-5002,-5147,84,,100,,,99.9,Lower Central America,""
Gran Cocle,Aguadulce Shelter,TEM-131,Preceramic,Block 3 Layer C4 30-35cm,Shell,6180,120,Cooke 1984,-4751,-4441,-4918,-4315,-4603,153,-4740,-4436,-4910,-4311,-4595,151,,100.4,,,99.8,Lower Central America,""
Gran Cocle,Aguadulce Shelter,UCR-3462,Preceramic,Zone D,Sediment phytoliths,5560,80,Piperno et al. 2000,-4490,-4337,-4589,-4248,-4411,81,-4489,-4337,-4588,-4247,-4409,81,,100.1,,,99.9,Lower Central America,""
Gran Cocle,Aguadulce Shelter,TEM-106,Preceramic,Block 5 Layer C5 35cm,Shell,5840,95,Cooke 1984,-4352,-4097,-4474,-3972,-4228,127,-4358,-4099,-4481,-3978,-4234,127,,99.9,,,99.8,Lower Central America,""
Gran Cocle,Aguadulce Shelter,UCR-3418,Monagrillo,Zone B,Sediment phytoliths,4250,60,Piperno et al. 2000,-2920,-2700,-3015,-2632,-2829,97,-2919,-2698,-3011,-2631,-2820,97,,98.5,,,99.9,Lower Central America,""
Gran Cocle,Aguadulce Shelter,TEM-130,Preceramic,Block 3 Layer C4 30-35cm,Shell,4210,90,Cooke 1984,-2463,-2176,-2606,-2021,-2318,146,-2476,-2191,-2622,-2038,-2338,145,,100,,,99.8,Lower Central America,""
Gran Cocle,Aguadulce Shelter,TEM-110,Preceramic,Block 3 Layers C4 and D 35cm,Charcoal,3540,115,Cooke 1984,-2031,-1696,-2200,-1545,-1884,158,-2111,-1699,-2204,-1547,-1897,159,,,,,99.7,Lower Central America,""
Gran Cocle,Aguadulce Shelter,TEM-128,Preceramic,Block 3 Layer C3 25-30cm,Shell,3700,100,Cooke 1984,-1794,-1499,-1955,-1378,-1658,146,-1826,-1526,-1978,-1402,-1685,146,,98.9,,,99.8,Lower Central America,""
Gran Cocle,Aguadulce Shelter,TEM-108,Preceramic,Block 2 Layer C1 20-25cm,Shell,3660,95,Ranere and Cooke 1996,-1737,-1460,-1893,-1334,-1609,140,-1763,-1483,-1918,-1365,-1632,140,,99,,,99.8,Lower Central America,""
Gran Cocle,Aguadulce Shelter,TEM-127,Preceramic,Block 3 Layer C3 25-30cm,Shell,2790,110,Cooke 1984,-708,-405,-827,-227,-550,151,-874,-652,-1007,-550,-769,112,,62.1,,,99.8,Lower Central America,""
Gran Cocle,Aguadulce Shelter,TEM-126,Monagrillo,Block 3 Layer B3 15-20cm,Shell,2960,80,Cooke 1984,-887,-638,-998,-485,-748,126,-775,-559,-876,-451,-665,106,,91.6,,,99.9,Lower Central America,""
Gran Cocle,Aguadulce Shelter,TEM-125,Monagrillo,Block 3 Layer B2 10-15cm,Shell,2540,70,Cooke 1984,-356,-128,-455,11,-232,115,-421,-246,-546,-171,-352,92,,83.7,,,99.9,Lower Central America,""
Gran Cocle,Aguadulce Shelter,TEM-107,Monagrillo,Block 3 Layer B1 5-10cm,Shell,2570,70,Cooke 1984,-382,-161,-511,-32,-267,117,-341,-166,-413,-55,-246,89,,111,,,99.9,Lower Central America,""
Gran Cocle,Carabali,B-9575,Preceramic,?,Charcoal,8040,390,Ranere and Cooke 1996,-7478,-6571,-8161,-6089,-7041,461,-7303,-6466,-7661,-6075,-6908,408,,103.3,,,99.6,Lower Central America,""
Gran Cocle,Carabali,B-19101,Monagrillo,?,Charcoal,2920,180,Ranere and Cooke 1996,-1380,-915,-1606,-774,-1140,211,-1378,-919,-1600,-776,-1141,208,,100.4,,,99.7,Lower Central America,""
Gran Cocle,Cerro Mangote,Y-458D,Preceramic,From McGimsey's Stratum C. Probably not the earliest occupation.,Charcoal,6810,110,"Cooke 1984, Ranere and Cooke 1996",-5830,-5622,-5974,-5528,-5721,103,-5800,-5571,-5967,-5486,-5714,102,,100.8,,,99.8,Lower Central America,""
Gran Cocle,Cerro Mangote,B-1219,Preceramic,Base of Red Clay,Charcoal,6670,215,Ranere and Cooke 1996,-5787,-5379,-6018,-5212,-5599,203,-5754,-5368,-5996,-5082,-5571,202,,99.9,,,99.7,Lower Central America,""
Gran Cocle,Cerro Mangote,TEM-206,Preceramic,"Pothole 1 north wall, 180-90cm",Shell,6710,170,Ranere and Cooke 1996,-5377,-4991,-5546,-4786,-5175,192,-5370,-4984,-5542,-4783,-5169,191,,100.1,,,99.8,Lower Central America,""
Gran Cocle,Cerro Mangote,TEM-176,Preceramic,"Inside shell, pothole 1, red clay zone",Shell,5440,130,Cooke 1984,-3951,-3641,-4146,-3501,-3807,159,-3960,-3650,-4156,-3512,-3822,159,,99.8,,,99.8,Lower Central America,""
Gran Cocle,Cerro Mangote,TEM-174,Preceramic,"Same shell as TEM-175, 180-90cm",Shell,5990,180,Ranere and Cooke 1996,-4622,-4197,-4824,-3975,-4404,213,-3641,-3352,-3809,-3166,-3498,153,,,0.2,,99.8,Lower Central America,""
Gran Cocle,Cerro Mangote,TEM-175,Preceramic,"Same shell as TEM-174, 180-90cm",Shell,5140,120,Ranere and Cooke 1996,-3630,-3340,-3784,-3134,-3475,156,-3641,-3352,-3809,-3166,-3498,153,,100.1,,,99.8,Lower Central America,""
Gran Cocle,Cerro Mangote,TEM-207,Preceramic,"Pothole 1A, 180-90cm",Shell,5055,150,Ranere and Cooke 1996,-3586,-3196,-3741,-2963,-3369,194,-3616,-3238,-3771,-3000,-3398,191,,100.7,,,99.7,Lower Central America,""
Gran Cocle,Cerro Mangote,B-1218,Preceramic,"Pothole 1 north wall, 180-90cm",Charcoal,3555,100,Cooke 1984,-2026,-1750,-2196,-1624,-1901,141,-2116,-1771,-2201,-1636,-1927,142,,98.7,,,99.8,Lower Central America,""
Gran Cocle,Corona,B-19411,Preceramic,?,Charcoal,7440,280,Cooke and Ranere 1992,-6589,-6021,-7036,-5786,-6343,306,-6562,-5987,-7023,-5727,-6292,291,,101.6,,,99.6,Lower Central America,""
Gran Cocle,Corona,B-27529,Preceramic,?,Shell,5980,100,Ranere and Cooke 1996,-4511,-4253,-4667,-4122,-4388,132,-4528,-4270,-4685,-4146,-4405,132,,99.5,,,99.8,Lower Central America,""
